brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,HP,engine_size,n_cylinders
Hyundai,Tucson SE,2007,16200.0,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Gold,Beige,,Yes,8200.0,173.0,2.7,6.0
Bmw,Z4 sDrive28i,2014,70000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,At least 1 accident or damage reported,Yes,20000.0,240.0,2.0,4.0
Bentley,Continental GTC Base,2011,20200.0,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,Automatic,Black,Black,,Yes,79950.0,552.0,6.0,12.0
Honda,Passport Elite,2023,2978.0,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,,,45498.0,,3.5,
Dodge,Sprinter 2500,2007,189719.0,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14000.0,,3.0,6.0
Bmw,M850 i xDrive,2019,9949.0,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,,,75798.0,,4.4,
Lucid,Air Grand Touring,2022,3552.0,,536.0HP Electric Motor Electric Fuel System,Automatic,Red,Beige,,Yes,119999.0,536.0,,
Audi,A7 Premium,2012,54000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,At least 1 accident or damage reported,Yes,36880.0,310.0,3.0,6.0
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351.0,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,,Yes,43147.0,,5.3,8.0
Mini,Convertible John Cooper Works,2017,24280.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,29000.0,228.0,2.0,4.0
Toyota,Avalon Touring,2016,89148.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,,Yes,17500.0,268.0,3.5,6.0
Porsche,Cayenne Platinum Edition,2017,73043.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,,Yes,30990.0,300.0,3.6,6.0
Mercedes-Benz,AMG C 63 S,2017,60000.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Dual Clutch,Gray,Black,At least 1 accident or damage reported,Yes,52500.0,503.0,4.0,8.0
Honda,CR-V EX-L,2016,73549.0,Gasoline,2.4L I4 16V GDI DOHC,Automatic,Mountain Air Metallic,Black,At least 1 accident or damage reported,,20848.0,,2.4,
Hummer,H2 Base,2005,110900.0,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,,Yes,19500.0,325.0,6.0,8.0
Porsche,911 Carrera S,2013,39000.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,,Yes,73000.0,400.0,3.8,6.0
Mercedes-Benz,CLA-Class CLA 250,2016,120000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Clutch,Black,Black,,Yes,19800.0,208.0,2.0,4.0
Chrysler,300 Touring,2009,134602.0,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Dual Clutch,Blue,Black,,Yes,7500.0,250.0,3.5,6.0
Nissan,Rogue SV,2023,1094.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic,Caspian Blue,Light Gray,,,30999.0,,1.5,
Audi,A3 2.0T,2010,83500.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Clutch,Silver,Black,,Yes,6500.0,200.0,2.0,4.0
Ford,Mustang GT Premium,2014,37060.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Manual,Black,Black,,Yes,28500.0,420.0,5.0,8.0
Acura,RL Technology,2010,97700.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Dual Clutch,Blue,Beige,,Yes,10995.0,300.0,3.7,6.0
Volvo,XC90 Hybrid T8 R-Design,2018,40000.0,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Dual Clutch,Black,Black,,Yes,42000.0,400.0,2.0,4.0
Audi,R8 5.2 V10,2018,8940.0,Gasoline,5.2L V10 40V PDI DOHC,Automatic,Tango Red Metallic,Black,,,144900.0,,5.2,10.0
Mercedes-Benz,GLK-Class GLK 350,2014,186000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,10000.0,302.0,3.5,6.0
Toyota,C-HR LE,2021,13180.0,Gasoline,2.0 Liter,,–,–,,,23998.0,,2.0,
Lexus,IS 350 Base,2014,104000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,,Yes,21000.0,306.0,3.5,6.0
Bmw,X4 M40i,2023,8500.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Dual Clutch,Gray,Beige,,Yes,67900.0,382.0,3.0,6.0
Bmw,M4 CS,2019,19069.0,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,,,69998.0,,3.0,
Cadillac,CT5 Premium Luxury,2023,6090.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,,Yes,46900.0,237.0,2.0,4.0
Lucid,Air Grand Touring,2022,4900.0,,536.0HP Electric Motor Electric Fuel System,Automatic,Red,Black,,Yes,99000.0,536.0,,
Audi,A5 2.0T Premium Plus,2019,47523.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Clutch,Black,Black,,Yes,31000.0,248.0,2.0,4.0
Chrysler,300C SRT8,2006,43000.0,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,19995.0,425.0,6.1,8.0
Bentley,Continental GT W12,2017,14684.0,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Automatic,White,White,,Yes,130000.0,582.0,6.0,12.0
Bmw,M4 Base,2019,57800.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Dual Clutch,Black,Red,,Yes,55999.0,425.0,3.0,6.0
Toyota,GR Corolla Circuit Edition,2023,952.0,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,Manual,Silver,Gray,,Yes,49950.0,300.0,1.6,3.0
Audi,RS 5 2.9T,2019,21240.0,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,59950.0,444.0,2.9,6.0
Porsche,Cayenne Base,2019,59338.0,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Dual Clutch,Black,Black,,Yes,42499.0,335.0,3.0,6.0
Lamborghini,Huracan Tecnica Coupe,2023,255.0,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,,,359991.0,,5.2,
Maserati,Quattroporte S,2019,23230.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,,Yes,44999.0,424.0,3.0,6.0
Jaguar,XF 35t R-Sport,2017,48000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,30000.0,340.0,3.0,6.0
Lexus,ES 330 Base,2005,41059.0,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,,Yes,11100.0,225.0,3.3,6.0
Land,Rover Discovery Sport SE R-Dynamic,2020,21240.0,Gasoline,2.0 Liter,Automatic,White,Black,,,37998.0,,2.0,
Porsche,Cayman GTS,2015,11500.0,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Silver,–,,Yes,72000.0,340.0,3.4,6.0
Genesis,G90 3.3T Premium,2021,9950.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Blue,,Yes,53950.0,365.0,3.3,6.0
Volkswagen,Golf R 20th Anniversary Edition,2023,633.0,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,,Yes,47999.0,315.0,2.0,4.0
Hyundai,Sonata Hybrid Limited,2015,66000.0,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Gray,At least 1 accident or damage reported,Yes,15900.0,199.0,2.4,4.0
Audi,RS 7 4.0T Prestige,2014,59715.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,45000.0,560.0,4.0,8.0
Bmw,740 Li,2012,85252.0,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,,Yes,18500.0,326.0,3.0,6.0
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900.0,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Black,Black,At least 1 accident or damage reported,Yes,80000.0,362.0,3.0,6.0
Bmw,M6 Base,2016,25500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,,Yes,55000.0,560.0,4.4,8.0
Subaru,Forester 2.5 X,2004,210703.0,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Manual,Green,Beige,,,2300.0,165.0,2.5,4.0
Hyundai,Elantra N Base,2023,3800.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,,Yes,34000.0,276.0,2.0,4.0
Kia,Niro Plug-In Hybrid EX Premium,2022,36602.0,Hybrid,1.6L I4 16V GDI DOHC Hybrid,Automatic,Horizon Blue,Charcoal,,Yes,31995.0,,1.6,
Rivian,R1S Adventure Package,2023,2800.0,,835.0HP Electric Motor Electric Fuel System,Automatic,White,Green,,Yes,92000.0,835.0,,
Aston,Martin DBS Superleggera,2021,2165.0,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,Automatic,Black,Black,,Yes,279950.0,,5.2,12.0
Mercedes-Benz,SLC 300 Base,2018,33000.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,29900.0,241.0,2.0,4.0
Bmw,435 Gran Coupe i,2016,76009.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,,Yes,24950.0,300.0,3.0,6.0
Jeep,Grand Cherokee Summit,2020,31349.0,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Granite Crystal Clearcoat Metallic,Black,,,39366.0,,5.7,8.0
Lexus,RC 350 Base,2015,48000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Dual Clutch,Orange,Red,,Yes,32900.0,306.0,3.5,6.0
Bmw,525 i,2005,91420.0,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,,Yes,8900.0,215.0,2.5,6.0
Toyota,Corolla LE,2003,124756.0,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Manual,Beige,Beige,At least 1 accident or damage reported,Yes,4995.0,130.0,1.8,4.0
Cadillac,CT5-V Blackwing,2023,2415.0,Gasoline,6.2L V8 16V GDI OHV Supercharged,Automatic,Rift Metallic,Gray,,,104900.0,,6.2,8.0
Gmc,Acadia SLT-1,2012,116226.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,,Yes,7900.0,288.0,3.6,6.0
Lexus,LC 500 Base,2020,37869.0,Gasoline,5.0L V8 32V PDI DOHC,Automatic,Atomic Silver,Rioja Red,,,75950.0,,5.0,8.0
Bmw,i8 Base,2019,41500.0,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Dual Clutch,White,Black,,Yes,86000.0,369.0,1.5,3.0
Lexus,ES 300h Base,2013,87001.0,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,,Gold,Beige,,Yes,17995.0,200.0,2.5,4.0
Cadillac,CT5-V V-Series,2022,4451.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,55655.0,,3.0,6.0
Bmw,540 i xDrive,2020,27158.0,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,,,39998.0,,2.0,
Chevrolet,Express 1500 Work Van,2014,139804.0,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14500.0,195.0,4.3,6.0
Jeep,Gladiator Rubicon,2022,27300.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Green,Black,,Yes,47500.0,285.0,3.6,6.0
Bmw,Z4 sDrive28i,2014,36812.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Clutch,White,Beige,,Yes,27000.0,240.0,2.0,4.0
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,18000.0,340.0,3.0,6.0
Cadillac,XT4 Sport,2019,44500.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,White,,Yes,28900.0,237.0,2.0,4.0
Bmw,750 750i xDrive,2021,10917.0,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,,,73998.0,,4.4,
Bentley,Arnage R,2005,8332.0,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,,Yes,47350.0,400.0,6.75,8.0
Lincoln,Aviator Reserve AWD,2020,51247.0,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,,,47698.0,,3.0,
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000.0,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Dual Clutch,Black,Brown,,Yes,36500.0,550.0,5.5,8.0
Ram,ProMaster 3500 High Roof,2021,147834.0,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Bright White Clearcoat,Black,,Yes,32662.0,,3.6,6.0
Ford,Utility Police Interceptor Base,2013,105000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Automatic,White,Black,At least 1 accident or damage reported,Yes,6600.0,300.0,3.7,6.0
Audi,A5 2.0T Premium,2011,92203.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Clutch,Red,Beige,,Yes,9995.0,211.0,2.0,4.0
Nissan,GT-R Premium,2010,15600.0,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Dual Clutch,White,Black,,Yes,69500.0,485.0,3.8,6.0
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700.0,Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,,30775.0,,,6.0
Toyota,Corolla LE,2010,72348.0,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Gray,At least 1 accident or damage reported,Yes,9995.0,132.0,1.8,4.0
Rivian,R1S Adventure Package,2023,2500.0,,835.0HP Electric Motor Electric Fuel System,Automatic,Green,White,,Yes,94000.0,835.0,,
Mercedes-Benz,C-Class C300 4MATIC,2022,13177.0,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,,,44798.0,,2.0,
Porsche,Cayenne E-Hybrid S,2016,96000.0,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Dual Clutch,White,Red,At least 1 accident or damage reported,Yes,23000.0,416.0,3.0,6.0
Chevrolet,Express 1500 Work Van,2011,93009.0,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,Automatic,Summit White,Medium Pewter,,Yes,22495.0,,5.3,8.0
Infiniti,Q70h Base,2016,52750.0,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Black,At least 1 accident or damage reported,Yes,28998.0,360.0,3.5,6.0
Audi,A7 Premium Plus,2020,25361.0,Hybrid,3.0 Liter Turbo,Automatic,Typhoon Gray,Black,,,49998.0,,3.0,
Audi,Q7 3.0T Premium Plus,2015,98527.0,Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,,,9995.0,280.0,3.0,6.0
Lucid,Air Pure,2023,1300.0,,620.0HP Electric Motor Electric Fuel System,Automatic,Black,Gray,,,86900.0,620.0,,
Chrysler,Pacifica Touring,2017,87305.0,,–,Automatic,Silver,Black,,Yes,9000.0,,,
Audi,TTS 2.0T Premium Plus,2012,72922.0,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,,,25999.0,265.0,2.0,4.0
Bmw,650 Gran Coupe i xDrive,2015,41000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,,Yes,30000.0,445.0,4.4,8.0
Subaru,Forester Premium,2021,42125.0,Gasoline,2.5L H4 16V GDI DOHC,Automatic,Crystal Black Silica,Black,,Yes,27899.0,,2.5,
Mercedes-Benz,AMG C AMG C 63,2016,62000.0,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Dual Clutch,Black,Black,,Yes,40000.0,469.0,4.0,8.0
Land,Rover LR3 HSE,2006,153843.0,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Beige,At least 1 accident or damage reported,Yes,9950.0,300.0,4.4,8.0
Bmw,X7 xDrive40i,2019,35248.0,Gasoline,3.0 Liter Twin Turbo,Automatic,Arctic Gray Metallic,Black,,,53998.0,,3.0,
Ford,Transit Connect XLT,2015,194454.0,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,,Yes,9888.0,169.0,2.5,4.0
Lexus,LX 570 Three-Row,2021,21000.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Dual Clutch,White,Black,,Yes,89999.0,383.0,5.7,8.0
Porsche,911 Carrera S,2013,18494.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Manual,Black,Black,,,86900.0,400.0,3.8,6.0
Dodge,Ram 2500 Laramie Quad Cab,2006,218000.0,Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Gray,,Yes,12990.0,330.0,5.7,8.0
Nissan,Armada SL,2021,67800.0,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,36500.0,400.0,5.6,8.0
Porsche,Cayman Base,2014,79000.0,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Dual Clutch,Red,Black,At least 1 accident or damage reported,Yes,42999.0,275.0,2.7,6.0
Mercedes-Benz,GLE 450 GLE 450,2022,24906.0,Hybrid,3.0 Liter Turbo,Automatic,Selenite Grey Metallic,Black,,,63998.0,,3.0,
Chevrolet,Monte Carlo SS,2006,66840.0,Gasoline,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,12000.0,303.0,5.3,8.0
Bmw,M5 Base,2013,86000.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Dual Clutch,Blue,White,,Yes,32000.0,560.0,4.4,8.0
Hyundai,Kona N Base,2023,654.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Ultra Black,Black,,Yes,34599.0,,2.0,
Chevrolet,Monte Carlo SS,2005,75000.0,Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,,Yes,12500.0,240.0,3.8,6.0
Land,Rover Range Rover Evoque Pure,2015,84000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Beige,Black,At least 1 accident or damage reported,Yes,22800.0,240.0,2.0,4.0
Audi,S7 4.0T Premium Plus,2017,52500.0,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Dual Clutch,Gray,Gray,,Yes,39999.0,450.0,4.0,8.0
Gmc,Acadia SLT-1,2011,120000.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,,Yes,7500.0,288.0,3.6,6.0
